date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2026-02-10,sh.000004,3875.4362,3885.7021,3861.9476,3874.4775,3868.7003,33777458500.0,686855156986.6,3.0,1.682714,1.0,0.149332,0.0,0.0,0.0,0.0,0.0
2026-02-11,sh.000004,3867.7675,3895.408,3867.7675,3882.8374,3874.4775,33025878300.0,643087398385.6,3.0,1.645027,1.0,0.215768,0.0,0.0,0.0,0.0,0.0
2026-02-12,sh.000004,3888.7737,3912.8828,3880.5235,3909.3173,3882.8374,33686245700.0,704522524186.1,3.0,1.677923,1.0,0.681973,0.0,0.0,0.0,0.0,0.0
2026-02-13,sh.000004,3881.7046,3898.0076,3851.7534,3854.8146,3909.3173,31828717100.0,659766926277.7,3.0,1.585386,1.0,-1.394174,0.0,0.0,0.0,0.0,0.0
2026-02-24,sh.000004,3913.3472,3924.8129,3886.1219,3909.5535,3854.8146,37443245200.0,746489457642.7,3.0,1.864516,1.0,1.420014,0.0,0.0,0.0,0.0,0.0
2026-02-25,sh.000004,3917.2449,3966.1579,3913.3229,3950.9408,3909.5535,46386798400.0,852747549557.0,3.0,2.309782,1.0,1.05862,0.0,0.0,0.0,0.0,0.0
2026-02-26,sh.000004,3955.9149,3970.8428,3937.0993,3965.3004,3950.9408,44004018400.0,861792842267.3,3.0,2.191101,1.0,0.363448,0.0,0.0,0.0,0.0,0.0
2026-02-27,sh.000004,3939.8079,3985.8139,3938.9981,3983.9814,3965.3004,44437271200.0,868794127043.0,3.0,2.212677,1.0,0.471112,0.0,0.0,0.0,0.0,0.0
2026-03-02,sh.000004,3977.9531,4016.2888,3953.8349,4011.3324,3983.9814,54255044400.0,1057881353295.6,3.0,2.700491,1.0,0.686524,0.0,0.0,0.0,0.0,0.0
2026-03-03,sh.000004,4021.0833,4034.1177,3908.6541,3914.5002,4011.3324,57999011000.0,1114980699802.9,3.0,2.886731,1.0,-2.413966,0.0,0.0,0.0,0.0,0.0
2026-03-04,sh.000004,3875.7654,3918.1759,3859.4459,3884.8569,3914.5002,47588586500.0,857086051124.4,3.0,2.368546,1.0,-0.757269,0.0,0.0,0.0,0.0,0.0
2026-03-05,sh.000004,3923.0241,3931.3872,3892.098,3908.5054,3884.8569,43548182200.0,844170564535.1,3.0,2.167361,1.0,0.608735,0.0,0.0,0.0,0.0,0.0
2026-03-06,sh.000004,3882.1028,3926.4626,3875.6666,3919.6511,3908.5054,40993090400.0,778988308866.6,3.0,2.040102,1.0,0.285165,0.0,0.0,0.0,0.0,0.0
2026-03-09,sh.000004,3897.0394,3909.0144,3834.9443,3897.3597,3919.6511,49301821900.0,938663231341.7,3.0,2.453554,1.0,-0.568709,0.0,0.0,0.0,0.0,0.0
2026-03-10,sh.000004,3898.1745,3929.7005,3898.1745,3928.3648,3897.3597,41592117100.0,815006809129.6,3.0,2.069869,1.0,0.795541,0.0,0.0,0.0,0.0,0.0
