date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2015-01-05,sz.002714,43.44501919,44.89285135,42.3289819,44.3398599,44.239316,1247162.0,54342547.0,1.0,2.061425,1.0,0.2273,67.056326,5.704851,4.083944,62.98108,0.0
2015-01-06,sz.002714,44.02817381,48.77384589,43.58578065,47.89911396,44.3398599,2756398.0,129024262.0,1.0,4.55603,1.0,8.0272,72.439079,6.162791,4.411771,68.036704,0.0
2015-01-07,sz.002714,47.93933152,50.4730378,47.31595934,50.29205878,47.89911396,2857547.0,140559420.0,1.0,4.723218,1.0,4.9958,76.057992,6.470672,4.632174,71.435683,0.0
2015-01-08,sz.002714,50.1714061,55.27903622,49.45754441,52.282828,50.29205878,1784482.0,93666337.0,1.0,2.949557,1.0,3.9584,79.068684,6.726808,4.815535,74.263405,0.0
2015-01-09,sz.002714,52.11190337,54.78637111,51.84043484,53.29832139,52.282828,981433.0,51964629.0,1.0,1.622203,1.0,1.9423,80.604441,6.857463,4.909068,75.705829,0.0
2015-01-12,sz.002714,52.32304556,54.26354283,50.27195,51.4784768,53.29832139,1156823.0,60637944.0,1.0,1.912104,1.0,-3.4144,77.852243,6.623319,4.74145,73.120891,0.0
2015-01-13,sz.002714,51.4784768,52.7855475,50.78472389,51.79016289,51.4784768,345496.0,17887697.0,1.0,0.571068,1.0,0.6055,78.323614,6.663421,4.770158,73.563615,0.0
2015-01-14,sz.002714,51.92086996,55.81191889,51.277389,55.75159255,51.79016289,1001541.0,54466359.0,1.0,1.65544,1.0,7.649,84.314587,7.173106,5.135027,79.190496,0.0
2015-01-15,sz.002714,55.67115743,57.7121986,54.12278137,54.31381478,55.75159255,752974.0,41770583.0,1.0,1.244585,1.0,-2.5789,82.140198,6.988119,5.0026,77.148253,0.0
2015-01-16,sz.002714,54.1931621,56.304584,53.16761432,55.95268035,54.31381478,662887.0,36334295.0,1.0,1.095681,1.0,3.0174,84.618698,7.198978,5.153549,79.476125,0.0
2015-01-19,sz.002714,55.87224523,58.55676736,54.83664306,56.06327864,55.95268035,1141019.0,64289070.0,1.0,1.885982,1.0,0.1977,84.785958,7.213208,5.163735,79.63322,0.0
2015-01-20,sz.002714,56.29452961,57.22958788,53.80104089,55.02767647,56.06327864,650086.0,35695531.0,1.0,1.074522,1.0,-1.8472,83.21979,7.079965,5.068351,78.162234,0.0
2015-01-21,sz.002714,55.02767647,55.85213645,54.02223747,55.30919939,55.02767647,814065.0,44396216.0,1.0,1.345562,1.0,0.5116,83.645545,7.116187,5.094281,78.562114,0.0
2015-01-22,sz.002714,54.84669745,55.14832915,52.60456848,54.24343405,55.30919939,1176346.0,62906580.0,1.0,1.944374,1.0,-1.9269,82.03376,6.979063,4.996118,77.048283,0.0
2015-01-23,sz.002714,54.18310771,54.18310771,52.8860914,53.68038821,54.24343405,497932.0,26509378.0,1.0,0.823028,1.0,-1.038,81.182251,6.906621,4.944258,76.248523,0.0
2015-01-26,sz.002714,53.68038821,54.4947938,53.0871792,54.40430429,53.68038821,1025731.0,54891073.0,1.0,1.695423,1.0,1.3486,82.277048,6.999761,5.010935,77.276785,0.0
2015-01-27,sz.002714,54.37414112,54.41435868,53.0871792,53.70049699,54.40430429,658114.0,35054296.0,1.0,1.087792,1.0,-1.2937,81.212662,6.909208,4.94611,76.277086,0.0
2015-01-28,sz.002714,53.42902846,53.67033382,50.8752134,51.23717144,53.70049699,1797193.0,93047441.0,1.0,2.506143,1.0,-4.5872,77.487311,6.592272,4.719224,72.778137,0.0
2015-01-29,sz.002714,50.5735817,52.84587384,50.28200439,51.277389,51.23717144,1189061.0,61305082.0,1.0,1.658118,1.0,0.0785,77.548133,6.597446,4.722929,72.835263,0.0
2015-01-30,sz.002714,52.0817402,52.0817402,50.60374487,51.06624681,51.277389,630302.0,32083652.0,1.0,0.878941,1.0,-0.4118,77.228817,6.57028,4.703481,72.535353,0.0
2015-02-02,sz.002714,51.08635559,52.9866353,50.53336414,52.66489482,51.06624681,739245.0,38424400.0,1.0,1.03086,1.0,3.1305,79.646494,6.775965,4.850726,74.806099,0.0
2015-02-03,sz.002714,52.66489482,53.288267,51.7801085,52.10184898,52.66489482,1332428.0,69326375.0,1.0,1.85804,1.0,-1.0691,78.794985,6.703523,4.798866,74.006339,0.0
2015-02-04,sz.002714,52.09179459,52.10184898,50.62385365,51.06624681,52.10184898,612196.0,31112921.0,1.0,0.853693,1.0,-1.9876,77.228817,6.57028,4.703481,72.535353,0.0
