date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2026-02-10,sh.000007,4879.7221,4879.7322,4841.4204,4859.8055,4882.6278,4691902200.0,34783480280.8,3.0,0.790842,1.0,-0.467418,0.0,0.0,0.0,0.0,0.0
2026-02-11,sh.000007,4861.5613,4880.4068,4843.2397,4859.4682,4859.8055,4457633800.0,32043999880.4,3.0,0.751355,1.0,-0.006941,0.0,0.0,0.0,0.0,0.0
2026-02-12,sh.000007,4868.2726,4868.2726,4826.7373,4828.9897,4859.4682,4818919100.0,33295901902.9,3.0,0.812077,1.0,-0.627198,0.0,0.0,0.0,0.0,0.0
2026-02-13,sh.000007,4822.5684,4824.2089,4773.3031,4775.3521,4828.9897,4605305600.0,29635603502.9,3.0,0.776079,1.0,-1.110742,0.0,0.0,0.0,0.0,0.0
2026-02-24,sh.000007,4807.6394,4844.4654,4806.5061,4833.9199,4775.3521,5047916500.0,35064929471.4,3.0,0.849657,1.0,1.22646,0.0,0.0,0.0,0.0,0.0
2026-02-25,sh.000007,4841.1771,4895.5366,4840.6773,4853.8026,4833.9199,7100804000.0,46483878709.9,3.0,1.195008,1.0,0.411316,0.0,0.0,0.0,0.0,0.0
2026-02-26,sh.000007,4857.7531,4881.7804,4846.8144,4869.9456,4853.8026,5653091600.0,38702080138.6,3.0,0.95137,1.0,0.332585,0.0,0.0,0.0,0.0,0.0
2026-02-27,sh.000007,4868.553,4916.5586,4866.7719,4914.7697,4869.9456,7011925300.0,48171925702.1,3.0,1.180051,1.0,0.920423,0.0,0.0,0.0,0.0,0.0
2026-03-02,sh.000007,4886.0877,4960.9548,4874.8185,4954.3519,4914.7697,9640373000.0,68686306787.2,3.0,1.622397,1.0,0.805372,0.0,0.0,0.0,0.0,0.0
2026-03-03,sh.000007,4947.7749,4971.3276,4900.3284,4910.3887,4954.3519,10909720300.0,74470243744.8,3.0,1.836018,1.0,-0.887365,0.0,0.0,0.0,0.0,0.0
2026-03-04,sh.000007,4866.2219,4895.2336,4824.8459,4871.3881,4910.3887,8491520900.0,56608413140.4,3.0,1.429055,1.0,-0.794247,0.0,0.0,0.0,0.0,0.0
2026-03-05,sh.000007,4898.3916,4931.9799,4875.5067,4915.9042,4871.3881,7829585300.0,53984478163.3,3.0,1.317656,1.0,0.913828,0.0,0.0,0.0,0.0,0.0
2026-03-06,sh.000007,4896.0963,4960.3774,4879.8787,4959.3778,4915.9042,7413531200.0,51309640232.2,3.0,1.247638,1.0,0.884346,0.0,0.0,0.0,0.0,0.0
2026-03-09,sh.000007,4928.2901,4956.4535,4919.0042,4941.86,4959.3778,9347558600.0,64739782695.4,3.0,1.573119,1.0,-0.353226,0.0,0.0,0.0,0.0,0.0
2026-03-10,sh.000007,4948.7278,4977.6495,4928.8651,4962.2472,4941.86,7754154700.0,54282519208.1,3.0,1.304962,1.0,0.412541,0.0,0.0,0.0,0.0,0.0
2026-03-11,sh.000007,4965.6192,5014.5561,4925.0433,5012.9402,4962.2472,10144279800.0,67605442639.4,3.0,1.707201,1.0,1.021573,0.0,0.0,0.0,0.0,0.0
2026-03-12,sh.000007,5012.7088,5064.9559,5002.3544,5058.7641,5012.9402,10639797800.0,72238093443.4,3.0,1.790592,1.0,0.914112,0.0,0.0,0.0,0.0,0.0
2026-03-13,sh.000007,5064.0347,5077.253,5015.7214,5027.1731,5058.7641,12013170500.0,80343488017.7,3.0,2.02172,1.0,-0.624481,0.0,0.0,0.0,0.0,0.0
2026-03-16,sh.000007,5016.9988,5030.2552,4948.7508,4963.697,5027.1731,10684364500.0,70335917906.1,3.0,1.798092,1.0,-1.26266,0.0,0.0,0.0,0.0,0.0
2026-03-17,sh.000007,4958.8588,4997.0276,4916.8287,4918.484,4963.697,9097535700.0,58424545429.4,3.0,1.531042,1.0,-0.910873,0.0,0.0,0.0,0.0,0.0
