date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2025-06-10,sh.600000,152.1284468,154.2344595,151.8806806,153.1195116,152.5000961,49879732.0,616254415.76,1.0,0.1699,1.0,0.4062,7.985054,0.545993,2.117361,-9.076858,0.0
2025-06-11,sh.600000,153.1195116,153.8628102,151.6329144,152.9956285,153.1195116,44114064.0,544126474.73,1.0,0.1503,1.0,-0.0809,7.978593,0.545552,2.115648,-9.069514,0.0
2025-06-12,sh.600000,152.9956285,154.853875,151.5090313,154.3583426,152.9956285,47676653.0,592474539.19,1.0,0.1624,1.0,0.8907,8.049658,0.550411,2.134492,-9.150295,0.0
2025-06-13,sh.600000,154.853875,155.4732905,152.1284468,152.8717454,154.3583426,61844935.0,764861363.21,1.0,0.2107,1.0,-0.9631,7.972133,0.54511,2.113935,-9.06217,0.0
2025-06-16,sh.600000,152.8717454,156.092706,151.2612651,155.8449398,152.8717454,51085389.0,635504882.17,1.0,0.174,1.0,1.9449,8.127183,0.555712,2.155049,-9.23842,0.0
2025-06-17,sh.600000,155.8449398,156.7121215,154.2344595,155.3494074,155.8449398,37369806.0,468354085.73,1.0,0.1273,1.0,-0.318,8.101341,0.553945,2.148197,-9.209045,0.0
2025-06-18,sh.600000,155.5971736,158.9420173,154.9777581,158.3226018,155.3494074,69853954.0,890776691.53,1.0,0.238,1.0,1.9139,8.256391,0.564547,2.189311,-9.385295,0.0
2025-06-19,sh.600000,158.3226018,159.0659004,156.5882384,157.8270694,158.3226018,43768050.0,557599592.67,1.0,0.1491,1.0,-0.313,8.230549,0.56278,2.182458,-9.35592,0.0
2025-06-20,sh.600000,158.3226018,161.2957962,157.7031863,161.2957962,157.8270694,69793426.0,903428590.6,1.0,0.2378,1.0,2.1978,8.41144,0.575148,2.230424,-9.561544,0.0
2025-06-23,sh.600000,160.8002638,165.5078216,159.5614328,164.8884061,161.2957962,81059193.0,1067412053.36,1.0,0.2762,1.0,2.2273,8.598792,0.587959,2.280104,-9.774513,0.0
2025-06-24,sh.600000,164.8884061,167.7377174,163.0301596,164.8884061,164.8884061,84287565.0,1123477728.39,1.0,0.2872,1.0,0.0,8.598792,0.587959,2.280104,-9.774513,0.0
2025-06-25,sh.600000,164.8884061,167.4899512,163.525692,166.7466526,164.8884061,56329911.0,752682258.56,1.0,0.1919,1.0,1.127,8.695698,0.594585,2.3058,-9.884669,0.0
2025-06-26,sh.600000,166.003354,169.1004315,164.764523,168.7287822,166.7466526,66332882.0,895310745.47,1.0,0.226,1.0,1.1887,8.799064,0.601653,2.333209,-10.002169,0.0
2025-06-27,sh.600000,168.8526653,173.3124569,166.4988864,167.8616005,168.7287822,145112686.0,1990098971.05,1.0,0.4944,1.0,-0.514,8.753841,0.598561,2.321217,-9.950762,0.0
2025-06-30,sh.600000,166.003354,173.1885738,164.1451075,171.9497428,167.8616005,95051500.0,1297775515.09,1.0,0.3238,1.0,2.4354,8.967034,0.613138,2.377749,-10.193106,0.0
2025-07-01,sh.600000,171.9497428,177.5244823,171.8258597,175.6662358,171.9497428,87707054.0,1242184692.56,1.0,0.2898,1.0,2.1614,9.445582,0.64586,2.504643,-10.737086,0.0
2025-07-02,sh.600000,175.914002,178.391664,174.675171,175.914002,175.6662358,68484199.0,977656404.7,1.0,0.2263,1.0,0.141,9.458905,0.646771,2.508176,-10.75223,0.0
